City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,Afif,23.9065,42.9172,17.93,66,67,8.56,SA,1739909214
250,Freetown,8.484,-13.2299,24.79,75,0,5.03,SL,1739909215
251,Wabag,-5.4781,143.7021,13.28,96,100,0.88,PG,1739909216
252,Nieuw Amsterdam,5.8833,-55.0833,28.01,74,40,5.14,SR,1739909217
253,Sitka,57.0531,-135.33,7.94,53,75,5.66,US,1739909219
254,Happy Valley-Goose Bay,53.3168,-60.3315,3.17,75,75,8.23,CA,1739909220
255,Greenville,35.6127,-77.3663,11.75,36,0,2.68,US,1739909205
256,Yass,-34.8333,148.9167,11.93,94,1,3.38,AU,1739909222
257,Lata,40.1629,-8.3327,12.01,82,99,2.56,PT,1739909223
258,Playa del Ingles,27.7567,-15.5787,20.22,50,0,0.89,ES,1739909112
259,Cartagena del Chairá,1.3349,-74.8429,30.15,56,99,2.34,CO,1739909225
260,Puerto Aisén,-45.4,-72.7,12.82,99,100,1.77,CL,1739909227
261,Gouré,13.9835,10.2704,25.26,10,81,3.46,NE,1739909228
262,Constanța,44.1833,28.65,-1.62,66,100,5.52,RO,1739909229
263,Andergrove,-21.0833,149.1833,24.47,77,35,2.34,AU,1739909230
264,Andergrove,-21.0833,149.1833,24.47,77,35,2.34,AU,1739909230
265,Fort McMurray,56.7268,-111.381,-21.23,54,100,3.6,CA,1739909179
266,Morehead City,34.7229,-76.726,11.68,50,0,2.68,US,1739909233
267,Xinyu,27.8043,114.9334,8.08,93,100,2.02,CN,1739909235
268,Horta,38.5333,-28.6333,16.8,90,40,9.77,PT,1739909236
269,Nagqu Prefecture,31.5,92.0,-7.2,27,100,3.33,CN,1739909237
270,Saint-Pierre,-21.3393,55.4781,27.82,65,75,4.12,RE,1739909238
271,Saint-Pierre,-21.3393,55.4781,27.82,65,75,4.12,RE,1739909238
272,Lowestoft,52.4752,1.7516,4.45,71,89,2.68,GB,1739909240
273,Franklin,39.9667,-83.0166,-6.36,53,40,3.09,US,1739908755
274,Karamay,45.6004,84.8661,-8.58,80,100,0.77,CN,1739909243
275,Taza,34.25,-3.75,17.43,42,100,0.66,MA,1739909244
276,Kristiansund,63.1115,7.732,-0.64,86,40,1.03,NO,1739909245
277,Santa Cruz de la Sierra,-17.8,-63.1667,28.7,74,75,4.12,BO,1739909021
278,Patterson,37.4716,-121.1297,16.64,63,53,4.34,US,1739909248
279,Tynda,55.1667,124.7167,-27.87,93,100,2.71,RU,1739909249
280,Kavieng,-2.5744,150.7967,28.33,74,96,3.45,PG,1739909250
281,Isangel,-19.55,169.2667,26.61,82,98,4.04,VU,1739909251
282,Richards Bay,-28.783,32.0377,23.23,73,100,3.16,ZA,1739909252
283,Las Terrenas,19.311,-69.5428,28.93,74,40,3.09,DO,1739909253
284,Al Bawīţī,28.3492,28.8659,15.32,33,85,2.07,EG,1739909255
285,Young,-32.6833,-57.6333,26.31,34,2,2.18,UY,1739909256
286,Mount Isa,-20.7333,139.5,26.87,17,24,4.63,AU,1739909072
287,East London,-33.0153,27.9116,21.89,83,93,4.06,ZA,1739909258
288,Puerto Deseado,-47.7503,-65.8938,18.26,49,86,7.81,AR,1739909259
289,Miðvágur,62.0511,-7.1939,5.46,93,100,9.26,FO,1739909260
290,Morondava,-20.2833,44.2833,29.21,74,100,4.36,MG,1739909261
291,El Bauga,18.262,33.9081,24.59,9,100,5.15,SD,1739909263
292,Taltal,-25.4,-70.4833,20.66,73,37,2.42,CL,1739908820
293,Geraldton,-28.7667,114.6,24.23,57,3,4.63,AU,1739909265
294,Kalevala,65.2,31.1667,-9.54,91,29,3.68,RU,1739909266
295,Castillos,-34.1667,-53.8333,18.81,51,1,4.53,UY,1739909267
296,Qarqaraly,49.4058,75.4742,-17.98,89,13,2.27,KZ,1739909268
297,Nova Viçosa,-17.8919,-39.3719,27.76,61,4,3.86,BR,1739909251
298,Vadsø,70.0744,29.7487,-5.91,86,20,7.72,NO,1739909271
299,Pitimbu,-7.4706,-34.8086,27.72,74,2,6.44,BR,1739909272
300,Saurimo,-9.6608,20.3916,18.08,96,98,1.87,AO,1739909142
301,Demidov,55.2706,31.515,-7.56,88,100,2.58,RU,1739909274
302,Valparaíso,-33.0393,-71.6273,21.93,55,100,6.69,CL,1739909277
303,Ndélé,8.4109,20.6473,29.28,17,100,2.21,CF,1739909278
304,Birjand,32.8663,59.2211,7.31,58,99,2.12,IR,1739909279
305,Westport,41.1415,-73.3579,-2.07,38,20,8.05,US,1739909280
306,Nombre de Dios,23.85,-104.2333,25.81,14,100,2.46,MX,1739909281
307,Canutama,-6.5339,-64.3831,24.34,97,100,1.6,BR,1739909282
308,Guarapari,-20.6667,-40.4975,27.39,70,0,6.61,BR,1739908993
309,Abong Mbang,3.9833,13.1833,25.08,45,69,1.09,CM,1739909285
310,Bayramaly,37.6185,62.1671,6.59,57,8,1.95,TM,1739909286
311,Revda,56.801,59.9303,-16.68,93,96,3.67,RU,1739909287
312,Palmer,42.1584,-72.3287,-4.85,46,94,2.24,US,1739909288
313,Banff,51.1762,-115.5698,-5.15,75,29,1.08,CA,1739909290
314,Sisophon,13.5859,102.9737,26.45,64,48,2.87,KH,1739909291
315,Serchhīp,23.3,92.8333,14.54,68,1,1.18,IN,1739909292
316,Bamboo Flat,11.7,92.7167,22.69,73,0,2.69,IN,1739909293
317,Micheweni,-4.9667,39.8333,28.01,77,6,7.58,TZ,1739909294
318,Kartaly,53.0522,60.6467,-22.86,96,6,2.2,RU,1739909295
319,Bo`ka,40.8108,69.1986,6.78,46,99,2.33,UZ,1739909296
320,Freeport,40.6576,-73.5832,-1.51,31,0,7.2,US,1739909298
321,Nuuk,64.1835,-51.7216,4.34,38,53,4.63,GL,1739909299
322,Nguigmi,14.2495,13.1092,25.72,13,5,4.5,NE,1739909300
323,Terme,41.2092,36.9739,2.05,99,100,2.11,TR,1739909301
324,Mormugao,15.4,73.8,25.59,89,20,0.0,IN,1739909302
325,La Sarre,48.8002,-79.1996,-15.58,90,100,5.54,CA,1739909303
326,Ähtäri,62.554,24.0619,-11.29,98,78,2.66,FI,1739909304
327,Harper,4.375,-7.7169,26.81,85,69,2.67,LR,1739909305
328,Ust-Nera,64.5667,143.2,-27.42,100,100,1.55,RU,1739909307
329,Wenchang,30.904,118.4887,5.91,74,100,1.77,CN,1739909308
330,Sinabang,2.4803,96.3801,25.82,83,100,0.46,ID,1739909309
331,Voranava,54.1483,25.3131,-4.92,79,72,3.46,BY,1739909310
332,Angoche,-16.2325,39.9086,26.64,87,99,1.15,MZ,1739909311
333,Raja,8.4596,25.678,27.82,18,4,1.63,SS,1739909312
334,Faßberg,52.9,10.1667,-4.99,58,0,2.06,DE,1739909313
335,Huron,41.1501,-82.5499,-8.51,62,100,5.49,US,1739909315
336,Kamyshevatskaya,46.4132,37.9563,-3.73,70,21,6.28,RU,1739909316
337,Lincoln City,44.9582,-124.0179,9.64,97,100,2.68,US,1739909044
338,Lā‘ie,21.6477,-157.9253,26.7,81,57,2.68,US,1739909318
339,Waoundé,15.2637,-12.8682,32.6,11,36,4.33,SN,1739909319
340,Tromsø,69.6496,18.957,-0.99,86,75,3.09,NO,1739909320
341,Vernon,50.2581,-119.2691,2.64,81,92,1.19,CA,1739909322
342,Hassi Messaoud,31.6804,6.0729,15.75,45,0,4.65,DZ,1739909323
343,Shanhecun,44.7,127.2,-17.56,99,100,1.57,CN,1739909324
344,Mundri,-6.9558,111.71,23.33,94,100,1.04,ID,1739909325
345,North Bend,43.4065,-124.2243,11.26,87,100,1.54,US,1739909326
346,Inarajan Village,13.2736,144.7484,25.78,91,31,4.38,GU,1739909327
347,Taroa,8.7058,171.2275,26.69,72,13,5.79,MH,1739909328
348,City of Balikpapan,-1.242,116.8942,22.97,100,20,1.54,ID,1739909330
349,Alice Springs,-23.7,133.8833,17.75,22,19,0.0,AU,1739909110
